0 7 21 59
1 1 4 7
2 1 3 5
3 1 3 9
4 1 4 10
5 2 3 10
6 2 1 6
7 2 8 6
8 5 5 5
9 0 8 9
10 1 14 5
11 4 8 10
12 3 14 9
13 2 11 11
14 4 10 11
15 3 13 13
16 1 6 16
17 5 7 18
18 3 10 18
19 5 12 5
20 6 9 11
21 6 8 15
22 5 7 16
23 4 14 10
24 4 11 5
25 4 12 15
26 13 20 20
27 10 7 14
28 11 14 13
29 13 21 22
30 14 10 13
31 9 14 11
32 6 13 19
33 4 17 12
34 12 14 19
35 11 19 15
36 9 15 15
37 5 16 12
38 11 13 24
39 16 18 23
40 11 14 13
41 12 18 20
42 17 13 23
43 12 19 11
44 5 14 12
45 14 17 16
46 14 12 26
47 16 16 24
48 8 16 22
49 12 15 14
50 19 17 20
51 13 11 22
52 16 12 15
53 7 9 13
54 23 10 15
55 12 22 17
56 8 25 14
57 13 29 18
58 15 19 25
59 14 21 20
60 20 17 16
61 15 21 18
62 10 20 29
63 12 17 16
64 19 18 13
65 19 16 19
66 10 20 27
67 12 23 23
68 12 20 21
69 20 16 27
70 11 22 15
71 11 24 24
72 19 22 17
73 14 28 18
74 17 20 27
75 20 23 24
76 12 20 22
77 14 24 21
78 18 17 19
79 26 22 25
80 18 28 26
81 27 18 22
82 20 15 33
83 15 19 22
84 22 27 28
85 29 18 19
86 18 26 14
87 23 24 14
88 15 25 16
89 23 25 28
90 28 16 15
91 24 27 26
92 21 25 16
93 24 20 22
94 26 25 23
95 31 15 22
96 32 20 23
97 30 23 20
98 29 27 19
99 23 24 22
100 25 23 18
101 25 22 24
102 29 20 23
103 30 29 24
104 37 23 26
105 30 24 24
106 33 27 21
107 37 23 19
108 35 38 18
109 29 25 21
110 41 33 23
111 32 17 19
112 33 21 29
113 25 16 25
114 37 27 20
115 31 33 28
116 36 24 24
117 31 23 19
118 44 32 29
119 35 30 26
120 45 25 15
121 31 22 25
122 52 26 27
123 43 24 24
124 34 25 19
125 35 24 30
126 27 23 18
127 39 21 22
128 45 25 21
129 37 21 20
130 33 22 15
131 42 18 23
132 34 23 21
133 28 14 29
134 36 27 27
135 43 28 27
136 42 19 28
137 35 24 32
138 31 31 27
139 40 25 15
140 33 25 23
141 43 27 38
142 29 19 25
143 30 29 32
144 30 26 26
145 29 21 22
146 36 25 23
147 28 19 26
148 26 18 29
149 23 25 30
150 26 25 27
151 20 20 23
152 21 36 25
153 17 28 24
154 22 18 28
155 10 34 26
156 19 20 21
157 15 21 15
158 9 25 18
159 16 25 12
160 17 17 14
161 13 24 13
162 8 14 9
163 10 13 10
164 10 13 18
165 6 13 15
166 8 16 15
167 4 15 10
168 12 10 10
169 10 12 10
170 4 6 8
171 6 13 1
172 2 11 9
173 7 13 4
174 8 6 1
175 6 9 3
176 4 3 2
177 5 7 3
178 5 4 3
179 4 7 3
180 6 4 1
181 2 5 4
182 6 4 3
183 3 4 3
184 5 3 4
185 3 2 1
186 6 5 3
187 6 1 4
188 2 4 2
189 1 6 2
190 8 5 3
191 5 4 6
192 4 6 3
193 3 2 1
194 3 2 3
195 4 3 6
196 6 5 1
197 5 6 4
198 5 3 5
199 5 1 2
200 5 3 3
201 4 8 3
202 7 2 6
203 9 3 3
204 7 1 5
205 2 4 5
206 3 6 5
207 4 4 6
208 2 4 2
209 6 3 2
210 4 6 5
211 1 5 1
212 5 4 1
213 5 5 2
214 6 2 2
215 5 3 1
216 3 4 4
217 4 3 6
218 2 1 5
219 8 2 3
220 2 5 10
221 7 5 1
222 5 4 8
223 11 4 3
224 4 5 4
225 6 9 6
226 11 9 9
227 5 5 7
228 8 4 10
229 8 2 7
230 4 3 8
231 5 7 7
232 13 5 7
233 9 10 12
234 5 8 12
235 12 10 9
236 12 8 8
237 14 12 14
238 11 12 15
239 13 21 21
240 11 24 20
241 22 15 25
242 29 24 10
243 19 19 25
244 17 23 17
245 22 12 21
246 19 21 20
247 27 25 26
248 14 14 21
249 14 11 25
250 15 21 17
251 20 25 16
252 13 20 7
253 19 10 15
254 10 15 17
255 166 209 169
